N bead  	Mean    	Std     	Seed    	FracP   
43.0000	7.4323	0.1245	-8349.0000	0.0040
43.0000	7.3590	0.0899	-8935.0000	0.0040
43.0000	7.1443	0.1543	-2460.0000	0.0040
43.0000	7.2022	0.1661	-8322.0000	0.0040
43.0000	7.6210	0.1607	-6104.0000	0.0040
44.0000	7.2018	0.1205	-8349.0000	0.0040
44.0000	7.1293	0.1771	-8935.0000	0.0040
44.0000	7.6019	0.1294	-2460.0000	0.0040
44.0000	7.0538	0.1519	-8322.0000	0.0040
44.0000	7.0563	0.2394	-6104.0000	0.0040
45.0000	7.6583	0.1403	-8349.0000	0.0040
45.0000	7.3071	0.1786	-8935.0000	0.0040
45.0000	7.8790	0.2182	-2460.0000	0.0040
45.0000	7.3838	0.1474	-8322.0000	0.0040
45.0000	7.2299	0.0848	-6104.0000	0.0040
46.0000	7.1800	0.1316	-8349.0000	0.0040
46.0000	7.5536	0.1704	-8935.0000	0.0040
46.0000	7.2746	0.1454	-2460.0000	0.0040
46.0000	7.3281	0.1645	-8322.0000	0.0040
46.0000	7.5728	0.2390	-6104.0000	0.0040
47.0000	7.3774	0.1132	-8349.0000	0.0040
47.0000	6.9504	0.0928	-8935.0000	0.0040
47.0000	7.3112	0.1387	-2460.0000	0.0040
47.0000	7.3620	0.1916	-8322.0000	0.0040
47.0000	7.0750	0.2829	-6104.0000	0.0040
48.0000	7.0925	0.0905	-8349.0000	0.0040
48.0000	6.7205	0.1705	-8935.0000	0.0040
48.0000	7.4900	0.1109	-2460.0000	0.0040
48.0000	7.4364	0.1876	-8322.0000	0.0040
48.0000	7.6529	0.0777	-6104.0000	0.0040
49.0000	6.9981	0.2072	-8349.0000	0.0040
49.0000	7.3012	0.1845	-8935.0000	0.0040
49.0000	7.6446	0.0963	-2460.0000	0.0040
49.0000	7.2999	0.1237	-8322.0000	0.0040
49.0000	7.7547	0.0882	-6104.0000	0.0040
50.0000	7.6084	0.1563	-8349.0000	0.0040
50.0000	7.0235	0.1306	-8935.0000	0.0040
50.0000	7.0602	0.0837	-2460.0000	0.0040
50.0000	7.3259	0.1430	-8322.0000	0.0040
50.0000	6.8299	0.1492	-6104.0000	0.0040
51.0000	7.5263	0.2502	-8349.0000	0.0040
51.0000	7.3913	0.1846	-8935.0000	0.0040
51.0000	7.2676	0.1310	-2460.0000	0.0040
51.0000	7.3528	0.1550	-8322.0000	0.0040
51.0000	7.4656	0.1549	-6104.0000	0.0040
